Urut Nasional,Urut Provinsi,Rerata,NPSN,Sekolah,Provinsi,Kota/Kab.,Jenis
252,33,"544,848",20538326,SMAN 2 NGANJUK,Jawa Timur,Kab. Nganjuk,SMA
253,45,"544,841",20303987,SMAN 1 BANJARNEGARA,Jawa Tengah,Kab. Banjarnegara,SMA
254,46,"544,752",20309680,SMAN 1 KARANGANOM,Jawa Tengah,Kab. Klaten,SMA
255,3,"544,621",50103149,SMAS TAMAN RAMA,Bali,Kota Denpasar,SMA
256,19,"544,551",20615183,SMAS KHARISMA BANGSA,Banten,Kota Tangerang Selatan,SMA
257,8,"544,52",10263742,MAS PERGURUAN ISLAM AR RISALAH,Sumatera Barat,Kota Padang,MA
258,42,"544,478",20222365,SMAN 2 CIREBON,Jawa Barat,Kota Cirebon,SMA
259,43,"544,441",20223045,SMAN 4 BEKASI,Jawa Barat,Kota Bekasi,SMA
260,44,"544,425",20238516,SMAN 2 BOGOR,Jawa Barat,Kota Bogor,SMA
261,45,"544,079",20223817,SMAN 3 KOTA DEPOK,Jawa Barat,Kota Depok,SMA
262,24,"543,976",20400391,SMA NEGERI 1 JETIS,DI Yogyakarta,Kab. Bantul,SMA
263,57,"543,928",20103306,SMAN 62 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
264,4,"543,902",50103125,SMAN 3 DENPASAR,Bali,Kota Denpasar,SMA
265,5,"543,901",10609651,SMA KUSUMA BANGSA PALEMBANG,Sumatera Selatan,Kota Palembang,SMA
266,58,"543,884",20100216,SMAN 1 JAKARTA,DKI Jakarta,Kota Jakarta Pusat,SMA
267,46,"543,772",69775444,SMAS IT UMMUL QURO,Jawa Barat,Kota Bogor,SMA
268,9,"543,346",10307799,SMAN 3 BATU SANGKAR,Sumatera Barat,Kab. Tanah Datar,SMA
269,1,"543,16",40320336,SMAS ZION,Sulawesi Selatan,Kota Makassar,SMA
270,34,"543,087",20517739,SMAN 1 LAWANG,Jawa Timur,Kab. Malang,SMA
271,47,"543,052",20341554,SMAS IT NURHIDAYAH,Jawa Tengah,Kab. Sukoharjo,SMA
272,59,"542,846",20102575,SMAN 55 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,SMA
273,2,"542,757",69976494,MAN INSAN CENDEKIA TANAH LAUT,Kalimantan Selatan,Kab. Tanah Laut,MA
274,35,"542,618",20517730,SMAN 1 KEPANJEN,Jawa Timur,Kab. Malang,SMA
275,25,"542,576",20402137,SMAN 2 WONOSARI,DI Yogyakarta,Kab. Gunung Kidul,SMA
276,8,"542,501",10210923,SMAS SANTO THOMAS 1 MEDAN,Sumatera Utara,Kota Medan,SMA
277,1,"542,493",10807063,SMAN 2 BANDAR LAMPUNG,Lampung,Kota Bandar Lampung,SMA
278,20,"542,32",20605093,SMAN 1 KOTA SERANG,Banten,Kota Serang,SMA
279,36,"542,257",20580045,MAN 2 Kota Kediri,Jawa Timur,Kota Kediri,MA
280,60,"542,253",20102571,SMAN 66 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,SMA
281,48,"542,24",20328912,SMA SEMESTA,Jawa Tengah,Kota Semarang,SMA
282,37,"542,211",20536288,SMAN 1 PROBOLINGGO,Jawa Timur,Kota Probolinggo,SMA
283,4,"542,156",69975889,MAN INSAN CENDEKIA KOTA BATAM,Kepulauan Riau,Kota Batam,MA
284,21,"542,096",20606833,SMAS STRADA ST AQUINO,Banten,Kota Tangerang,SMA
285,47,"542,045",20231283,SMAS BUNDA HATI KUDUS,Jawa Barat,Kab. Bogor,SMA
286,38,"541,971",69964214,SMA NEGERI TARUNA NALA JAWA TIMUR,Jawa Timur,Kota Malang,SMA
287,39,"541,968",20535464,UPT SMA NEGERI 1 PASURUAN,Jawa Timur,Kota Pasuruan,SMA
288,61,"541,904",20102574,SMAN 6 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,SMA
289,48,"541,715",20252852,SMAS AL KAHFI,Jawa Barat,Kab. Bogor,SMA
290,40,"541,706",20501701,SMAN 3 SIDOARJO,Jawa Timur,Kab. Sidoarjo,SMA
291,41,"541,698",20536817,SMAN 1 BATU,Jawa Timur,Kota Batu,SMA
292,62,"541,539",20103309,SMAN 58 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
293,63,"541,505",20101623,SMAN 19 JAKARTA,DKI Jakarta,Kota Jakarta Barat,SMA
294,26,"541,497",20402778,SMA NEGERI 2 WATES,DI Yogyakarta,Kab. Kulon Progo,SMA
295,5,"541,488",50102079,SMAN 1 GIANYAR,Bali,Kab. Gianyar,SMA
296,49,"541,479",20231312,SMAS MADANIA,Jawa Barat,Kab. Bogor,SMA
297,22,"541,401",20606516,SMAS MUTIARA BANGSA,Banten,Kota Tangerang,SMA
298,1,"541,33",50204503,SMA NEGERI 1 MATARAM,Nusa Tenggara Barat,Kota Mataram,SMA
299,23,"541,272",69754032,SMAS INSAN CENDEKIA MADANI,Banten,Kota Tangerang Selatan,SMA
300,27,"541,131",20403145,SMAS STELLA DUCE 1,DI Yogyakarta,Kota Yogyakarta,SMA
301,1,"540,957",69756117,SMAS AL - AZHAR MANDIRI PALU,Sulawesi Tengah,Kota Palu,SMA
302,50,"540,94",20219795,SMAS KALAM KUDUS,Jawa Barat,Kota Bandung,SMA
303,42,"540,925",20549721,SMAS AL HIKMAH SURABAYA,Jawa Timur,Kota Surabaya,SMA
304,28,"540,924",20400390,SMA NEGERI 1 KASIHAN,DI Yogyakarta,Kab. Bantul,SMA
305,49,"540,833",20307714,SMAN 1 KOTA MUNGKID,Jawa Tengah,Kab. Magelang,SMA
306,43,"540,794",20532247,SMAN 4 SURABAYA,Jawa Timur,Kota Surabaya,SMA
307,51,"540,774",20220324,SMAS BPK PENABUR,Jawa Barat,Kota Bogor,SMA
308,50,"540,699",20327987,SMAS REGINA PACIS SURAKARTA,Jawa Tengah,Kota Surakarta,SMA
309,51,"540,498",20324216,SMAN 1 PEMALANG,Jawa Tengah,Kab. Pemalang,SMA
310,64,"540,417",20103298,SMAN 44 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
311,52,"540,267",69968020,SMA AL AZHAR SYIFA BUDI PARAHYANGAN,Jawa Barat,Kab. Bandung Barat,SMA
312,52,"540,13",20314885,SMAN 1 BLORA,Jawa Tengah,Kab. Blora,SMA
313,24,"540,067",20603349,SMAS K ORA ET LABORA BSD,Banten,Kota Tangerang Selatan,SMA
314,53,"539,901",20276323,MAS NUURUL QUR AN,Jawa Barat,Kab. Bogor,MA
315,65,"539,838",20101301,SMAS REGINA PACIS,DKI Jakarta,Kota Jakarta Barat,SMA
316,66,"539,798",20102219,SMAN 109 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,SMA
317,54,"539,747",20258396,SMAS IT AS-SYIFA BOARDING SCHOOL,Jawa Barat,Kab. Subang,SMA
318,29,"539,742",20407427,SMK SMTI,DI Yogyakarta,Kota Yogyakarta,SMK
319,1,"539,706",10702412,SMAN 5 BENGKULU,Bengkulu,Kota Bengkulu,SMA
320,53,"539,59",20327970,SMAN 5 SURAKARTA,Jawa Tengah,Kota Surakarta,SMA
321,55,"539,582",20247152,SMAS INSAN CENDEKIA AL KAUSAR,Jawa Barat,Kab. Sukabumi,SMA
322,44,"539,574",20510150,SMAN 1 PONOROGO,Jawa Timur,Kab. Ponorogo,SMA
323,45,"539,483",20542500,SMA NEGERI 1 TRENGGALEK,Jawa Timur,Kab. Trenggalek,SMA
324,2,"539,446",40311951,SMAN 17 MAKASSAR,Sulawesi Selatan,Kota Makassar,SMA
325,46,"539,435",69857710,SMA TRENSAINS TEBUIRENG,Jawa Timur,Kab. Jombang,SMA
326,54,"539,341",20315697,SMA NEGERI 1 REMBANG,Jawa Tengah,Kab. Rembang,SMA
327,56,"539,281",20223075,SMAS MARSUDIRINI,Jawa Barat,Kota Bekasi,SMA
328,67,"539,235",20103257,SMAN 98 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
329,47,"539,211",20532244,SMAN 11 SURABAYA,Jawa Timur,Kota Surabaya,SMA
330,68,"539,176",20103310,SMAN 54 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
331,5,"539,113",69941598,MAN INSAN CENDEKIA SIAK,Riau,Kab. Siak,MA
332,57,"539,047",20219253,SMAN 20 BANDUNG,Jawa Barat,Kota Bandung,SMA
333,25,"539,014",20603368,SMAN 3 KOTA TANGERANG SELATAN,Banten,Kota Tangerang Selatan,SMA
334,48,"538,967",20532263,SMAN 9 SURABAYA,Jawa Timur,Kota Surabaya,SMA
335,30,"538,934",20400406,SMA NEGERI 1 BANGUNTAPAN,DI Yogyakarta,Kab. Bantul,SMA
336,55,"538,849",20310414,SMAS KRISTEN KALAM KUDUS SUKOHARJO,Jawa Tengah,Kab. Sukoharjo,SMA
337,9,"538,555",10261532,SMA UNGGULAN CT FOUNDATION,Sumatera Utara,Kab. Deli Serdang,SMA
338,58,"538,517",20219241,SMAN 12 BANDUNG,Jawa Barat,Kota Bandung,SMA
339,56,"538,492",20350718,SMAS IT IHSANUL FIKRI MUNGKID,Jawa Tengah,Kab. Magelang,SMA
340,2,"538,46",69978966,MAN INSAN CENDEKIA LOMBOK TIMUR,Nusa Tenggara Barat,Kab. Lombok Timur,MA
341,49,"538,409",20533640,SMAN 8,Jawa Timur,Kota Malang,SMA
342,57,"538,355",20327564,SMAN 3 MAGELANG,Jawa Tengah,Kota Magelang,SMA
343,10,"538,264",10263528,SMAS NASIONAL PLUS CINTABUDAYA / CHONG WEN,Sumatera Utara,Kab. Deli Serdang,SMA
344,2,"538,139",10807561,SMAN 1 METRO,Lampung,Kota Metro,SMA
345,69,"538,033",69955414,SMA EMIISc Jakarta,DKI Jakarta,Kota Jakarta Timur,SMA
346,58,"537,663",20328892,SMA NEGERI 06,Jawa Tengah,Kota Semarang,SMA
347,70,"537,647",20100186,SMAS KRISTEN 2 BPK PENABUR,DKI Jakarta,Kota Jakarta Pusat,SMA
348,31,"537,4",20401130,SMAN 1 MLATI,DI Yogyakarta,Kab. Sleman,SMA
349,10,"537,371",10310795,SMAN 3 PAINAN,Sumatera Barat,Kab. Pesisir Selatan,SMA
350,59,"537,321",20318343,SMA NEGERI 1 JEPARA,Jawa Tengah,Kab. Jepara,SMA
351,3,"537,309",69765089,SMAS ISLAM ATHIRAH,Sulawesi Selatan,Kab. Bone,SMA
352,71,"537,216",20102216,SMAN 3 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,SMA
353,50,"537,206",20580089,MAN 1 KOTA MALANG,Jawa Timur,Kota Malang,MA
354,3,"537,117",30304597,SMAN 1 BANJARBARU,Kalimantan Selatan,Kota Banjarbaru,SMA
355,51,"537,087",20534389,SMAN 1 KEDIRI,Jawa Timur,Kota Kediri,SMA
356,52,"536,994",20527233,SMAN 1 PAMEKASAN,Jawa Timur,Kab. Pamekasan,SMA
357,59,"536,915",20224124,SMA SANTA MARIA 3,Jawa Barat,Kota Cimahi,SMA
358,3,"536,835",30105074,SMA KATOLIK SANTU PETRUS PONTIANAK,Kalimantan Barat,Kota Pontianak,SMA
359,53,"536,732",20502727,SMAN 1 SOOKO,Jawa Timur,Kab. Mojokerto,SMA
360,6,"536,724",10496495,SMA DHARMA LOKA,Riau,Kota Pekanbaru,SMA
361,54,"536,713",20532087,SMAS SANTA MARIA,Jawa Timur,Kota Surabaya,SMA
362,60,"536,708",20305025,SMAN 2 KEBUMEN,Jawa Tengah,Kab. Kebumen,SMA
363,61,"536,694",69929336,SMA SCIENCE PLUS BAITUL QURAN BOARDING SCHOOL,Jawa Tengah,Kab. Sragen,SMA
364,62,"536,654",20328449,SMAN 3 SALATIGA,Jawa Tengah,Kota Salatiga,SMA
365,63,"536,561",20331915,SMAS THERESIANA 1,Jawa Tengah,Kota Semarang,SMA
366,7,"536,552",10498812,MAN 2 PEKANBARU,Riau,Kota Pekanbaru,MA
367,60,"536,447",20219271,SMAN 1 BANDUNG,Jawa Barat,Kota Bandung,SMA
368,64,"536,326",20322744,SMA NEGERI 1 BATANG,Jawa Tengah,Kab. Batang,SMA
369,61,"536,185",20265518,SMAS ALFA CENTAURI,Jawa Barat,Kota Bandung,SMA
370,2,"536,042",10111885,SMA TEUKU NYAK ARIF FATIH BILINGUAL SCHOOL,Aceh,Kota Banda Aceh,SMA
371,1,"536,032",40103174,SMAS LOKON ST NIKOLAUS TOMOHON,Sulawesi Utara,Kota Tomohon,SMA
372,55,"535,926",69859740,SMA ISLAM SABILILLAH,Jawa Timur,Kota Malang,SMA
373,26,"535,922",20603342,SMAS ISLAM AL-AZHAR BSD,Banten,Kota Tangerang Selatan,SMA
374,27,"535,908",20606814,SMAN 8 TANGERANG,Banten,Kota Tangerang,SMA
375,62,"535,825",20200681,SMAN 1 CILEUNGSI,Jawa Barat,Kab. Bogor,SMA
376,63,"535,808",20276416,SMAS LABSCHOOL CIBUBUR,Jawa Barat,Kota Bekasi,SMA
377,6,"535,79",10601344,SMAN 4 LAHAT,Sumatera Selatan,Kab. Lahat,SMA
378,65,"535,717",20313048,SMAN 1 GEMOLONG,Jawa Tengah,Kab. Sragen,SMA
379,11,"535,591",69862591,SMA N 2 SUMATERA BARAT,Sumatera Barat,Kab. Solok,SMA
380,28,"535,591",20603371,SMAS PLUS PEMBANGUNAN JAYA,Banten,Kota Tangerang Selatan,SMA
381,7,"535,587",10603858,SMA NEGERI 17 PALEMBANG,Sumatera Selatan,Kota Palembang,SMA
382,64,"535,5",20253130,SMAS IT AL BINA,Jawa Barat,Kab. Bekasi,SMA
383,66,"535,488",20306176,SMAN 2 PURWOREJO,Jawa Tengah,Kab. Purworejo,SMA
384,56,"535,485",20511011,SMAN 1 PACITAN,Jawa Timur,Kab. Pacitan,SMA
385,3,"535,422",10807024,SMA S AL KAUTSAR,Lampung,Kota Bandar Lampung,SMA
386,67,"535,394",20328913,SMA SEDES SAPIENTIAE,Jawa Tengah,Kota Semarang,SMA
387,72,"535,337",P2965978,PKBM Windsor,DKI Jakarta,Kota Jakarta Pusat,PKBM
388,65,"535,307",20219784,SMAS PELITA BANGSA,Jawa Barat,Kota Bandung,SMA
389,66,"535,258",20219265,SMAS ST MARIA 1 BANDUNG,Jawa Barat,Kota Bandung,SMA
390,67,"535,167",20277214,MAS HUSNUL KHOTIMAH,Jawa Barat,Kab. Kuningan,MA
391,57,"535,096",20509318,SMAN 1 MAGETAN,Jawa Timur,Kab. Magetan,SMA
392,68,"535,072",20200885,SMAN 1 CIBINONG,Jawa Barat,Kab. Bogor,SMA
393,32,"535,038",20363283,MAS MUALLIMAAT MUHAMMADIYAH,DI Yogyakarta,Kota Yogyakarta,MA
394,58,"534,991",20540060,SMAS KRISTEN PETRA 4,Jawa Timur,Kab. Sidoarjo,SMA
395,59,"534,979",20525856,SMAN 1 GLAGAH,Jawa Timur,Kab. Banyuwangi,SMA
396,8,"534,939",69816324,SMA IT AL BAYYINAH,Riau,Kota Pekanbaru,SMA
397,68,"534,732",20320387,SMA NEGERI 1 AMBARAWA,Jawa Tengah,Kab. Semarang,SMA
398,69,"534,637",20330921,SMA TRENSAINS MUHAMMADIYAH SRAGEN,Jawa Tengah,Kab. Sragen,SMA
399,69,"534,596",20219270,SMAS KRIDA NUSANTARA,Jawa Barat,Kota Bandung,SMA
400,4,"534,54",10807016,SMA S XAVERIUS BANDAR LAMPUNG,Lampung,Kota Bandar Lampung,SMA
401,70,"534,403",20329512,SMK Negeri 2 Pekalongan,Jawa Tengah,Kota Pekalongan,SMK
402,70,"534,388",20220335,SMAN 6 BOGOR,Jawa Barat,Kota Bogor,SMA
403,33,"534,228",20401315,SMKN 2 DEPOK,DI Yogyakarta,Kab. Sleman,SMK
404,34,"534,106",20363284,MAS MUALLIMIN MUHAMMADIYAH,DI Yogyakarta,Kota Yogyakarta,MA
405,60,"534,013",20514344,SMAN 1 TALUN,Jawa Timur,Kab. Blitar,SMA
406,71,"533,964",20219243,SMAN 11 BANDUNG,Jawa Barat,Kota Bandung,SMA
407,72,"533,911",69822684,SMAS DARUL HIKAM INTERNASIONAL,Jawa Barat,Kab. Bandung Barat,SMA
408,35,"533,897",20404171,SMAS IT ABU BAKAR,DI Yogyakarta,Kota Yogyakarta,SMA
409,61,"533,891",20501702,SMAN 2 SIDOARJO,Jawa Timur,Kab. Sidoarjo,SMA
410,73,"533,837",20222364,SMAN 1 CIREBON,Jawa Barat,Kota Cirebon,SMA
411,2,"533,812",40102411,SMA MANADO INDEPENDENT SCHOOL,Sulawesi Utara,Kab. Minahasa Utara,SMA
412,29,"533,797",69982590,SMA AL WILDAN ISLAMIC SCHOOL,Banten,Kab. Tangerang,SMA
413,2,"533,77",30401067,SMA Negeri 10 Samarinda,Kalimantan Timur,Kota Samarinda,SMA
414,71,"533,708",20362982,MAS TAHFIZHUL QUR`AN,Jawa Tengah,Kab. Karanganyar,MA
415,72,"533,697",20308448,SMAN 3 BOYOLALI,Jawa Tengah,Kab. Boyolali,SMA
416,74,"533,627",20246730,SMAS GLOBAL PRESTASI,Jawa Barat,Kota Bekasi,SMA
417,4,"533,445",40307369,SMAS KATOLIK RAJAWALI,Sulawesi Selatan,Kota Makassar,SMA
418,75,"533,388",20229167,SMAN 5 KOTA DEPOK,Jawa Barat,Kota Depok,SMA
419,62,"533,29",20523847,SMAN 2 JEMBER,Jawa Timur,Kab. Jember,SMA
420,5,"533,265",11000360,SMAN 1 BATAM,Kepulauan Riau,Kota Batam,SMA
421,76,"533,255",20227474,SMAN 1 GARUT,Jawa Barat,Kab. Garut,SMA
422,36,"533,24",20411891,MAN 3 SLEMAN,DI Yogyakarta,Kab. Sleman,MA
423,73,"533,233",20103281,SMAN 31 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
424,77,"533,187",20206209,SMAN 1 MARGAHAYU,Jawa Barat,Kab. Bandung,SMA
425,73,"532,937",20310421,SMAN 3 SUKOHARJO,Jawa Tengah,Kab. Sukoharjo,SMA
426,6,"532,93",50103127,SMAN 1 DENPASAR,Bali,Kota Denpasar,SMA
427,7,"532,92",50102779,SMAN 2 AMLAPURA,Bali,Kab. Karang Asem,SMA
428,78,"532,884",20253167,SMAS ISLAM AL-AZHAR 4,Jawa Barat,Kota Bekasi,SMA
429,74,"532,841",20327972,SMAN 7 SURAKARTA,Jawa Tengah,Kota Surakarta,SMA
430,79,"532,84",20220334,SMAN 4 BOGOR,Jawa Barat,Kota Bogor,SMA
431,3,"532,747",30401809,SMAS YAYASAN PUPUK KALTIM BONTANG,Kalimantan Timur,Kota Bontang,SMA
432,75,"532,727",20309684,SMAN 1 CAWAS,Jawa Tengah,Kab. Klaten,SMA
433,30,"532,699",20603347,SMAS KATOLIK RICCI II,Banten,Kota Tangerang Selatan,SMA
434,76,"532,582",20320392,SMA SEDES SAPIENTIAE JAMBU,Jawa Tengah,Kab. Semarang,SMA
435,1,"532,499",60102022,SMAS KRISTEN REHOBOTH,Maluku,Kota Ambon,SMA
436,11,"532,4",10259956,SMAS PRIMEONE SCHOOL,Sumatera Utara,Kota Medan,SMA
437,37,"532,332",20409801,SMA BUDI MULIA DUA,DI Yogyakarta,Kab. Sleman,SMA
438,31,"532,291",20603328,SMAS KATOLIK MATER DEI,Banten,Kota Tangerang Selatan,SMA
439,1,"532,268",69955659,MAN INSAN CENDEKIA BANGKA TENGAH,Kepulauan Bangka Belitung,Kab. Bangka Tengah,MA
440,4,"532,244",30401490,SMAN 2 BALIKPAPAN UTARA,Kalimantan Timur,Kota Balikpapan,SMA
441,80,"532,243",69816259,SMA IBNU HAJAR BOARDING SCHOOL,Jawa Barat,Kota Depok,SMA
442,81,"532,23",69986335,SMA IT AT TAUFIQ,Jawa Barat,Kota Bogor,SMA
443,82,"532,216",20223033,SMAN 2 BEKASI,Jawa Barat,Kota Bekasi,SMA
444,63,"532,174",P9908769,PKBM KAK SETO,Jawa Timur,Kota Surabaya,PKBM
445,83,"532,151",20246430,SMAS ISLAM DIAN DIDAKTIKA,Jawa Barat,Kota Depok,SMA
446,84,"532,001",20280604,SMAS FUTURE GATE,Jawa Barat,Kota Bekasi,SMA
447,2,"531,934",10901104,SMAN 1 PANGKAL PINANG,Kepulauan Bangka Belitung,Kota Pangkalpinang,SMA
448,8,"531,789",50101121,SMAN 1 TABANAN,Bali,Kab. Tabanan,SMA
449,85,"531,781",20231356,SMAS SMART EKSELENSIA INDONESIA,Jawa Barat,Kab. Bogor,SMA
450,77,"531,759",20321907,SMAN 1 KENDAL,Jawa Tengah,Kab. Kendal,SMA
451,86,"531,557",20223046,SMAN 3 BEKASI,Jawa Barat,Kota Bekasi,SMA
452,64,"531,548",20502726,SMAN 1 PURI,Jawa Timur,Kab. Mojokerto,SMA
453,3,"531,468",10900459,SMAN 1 TANJUNG PANDAN,Kepulauan Bangka Belitung,Kab. Belitung,SMA
454,78,"531,409",20313845,SMAN 1 PURWODADI,Jawa Tengah,Kab. Grobogan,SMA
455,65,"531,385",20532232,SMAN 21 SURABAYA,Jawa Timur,Kota Surabaya,SMA
456,3,"531,144",69952949,SMA LENTERA HARAPAN TOMOHON,Sulawesi Utara,Kota Tomohon,SMA
457,79,"531,143",69949652,SMA Muhammadiyah Program Khusus Kottabarat Surakarta,Jawa Tengah,Kota Surakarta,SMA
458,74,"531,135",20103311,SMAN 53 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
459,12,"531,098",10210903,SMAS METHODIST 2 MEDAN,Sumatera Utara,Kota Medan,SMA
460,38,"531,043",20402128,SMKN 1 WONOSARI,DI Yogyakarta,Kab. Gunung Kidul,SMK
461,66,"531,018",20533641,SMAN 9 Malang,Jawa Timur,Kota Malang,SMA
462,32,"530,947",20603361,SMAN 3 KABUPATEN TANGERANG,Banten,Kab. Tangerang,SMA
463,87,"530,943",20216938,SMAN 1 SUBANG,Jawa Barat,Kab. Subang,SMA
464,67,"530,895",20523807,SMAS ST PAULUS,Jawa Timur,Kab. Jember,SMA
465,39,"530,788",20400371,SMA NEGERI 1 SEWON,DI Yogyakarta,Kab. Bantul,SMA
466,68,"530,697",20532217,SMAN 17 SURABAYA,Jawa Timur,Kota Surabaya,SMA
467,33,"530,628",69759180,SMA ISLAM SINAR CENDEKIA,Banten,Kota Tangerang Selatan,SMA
468,13,"530,58",69987117,MAN INSAN CENDEKIA TAPANULI SELATAN,Sumatera Utara,Kab. Tapanuli Selatan,MA
469,88,"530,552",20254358,SMAS GLOBAL MANDIRI,Jawa Barat,Kab. Bogor,SMA
470,89,"530,519",20224113,SMA NEGERI 1 CIMAHI,Jawa Barat,Kota Cimahi,SMA
471,80,"530,443",20302169,SMAN 5 PURWOKERTO,Jawa Tengah,Kab. Banyumas,SMA
472,75,"530,307",69883506,SMA GARUDA CENDEKIA,DKI Jakarta,Kota Jakarta Selatan,SMA
473,3,"530,282",10107194,SMAN 10 FAJAR HARAPAN BANDA ACEH,Aceh,Kota Banda Aceh,SMA
474,81,"530,136",20321425,SMK NEGERI 1 TEMANGGUNG,Jawa Tengah,Kab. Temanggung,SMK
475,76,"530,079",20103297,SMAN 42 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
476,90,"530,067",20220338,SMAN 9 BOGOR,Jawa Barat,Kota Bogor,SMA
477,1,"530,048",60403474,SMAS AVEROS,Papua Barat,Kota Sorong,SMA
478,91,"530,012",20229168,SMAN 6 KOTA DEPOK,Jawa Barat,Kota Depok,SMA
479,92,"530,007",69987474,SMA ISLAM TERPADU NURUL FIKRI BOARDING SCHOOL,Jawa Barat,Kab. Bogor,SMA
480,14,"529,984",10210873,SMAN 1 MEDAN,Sumatera Utara,Kota Medan,SMA
481,93,"529,869",20212956,SMA NEGERI 2 KUNINGAN,Jawa Barat,Kab. Kuningan,SMA
482,34,"529,755",20606848,SMAN 2 TANGERANG,Banten,Kota Tangerang,SMA
483,94,"529,753",20217786,SMAN 1 KARAWANG,Jawa Barat,Kab. Karawang,SMA
484,5,"529,721",40301037,SMAN 5 GOWA,Sulawesi Selatan,Kab. Gowa,SMA
485,69,"529,711",20532246,SMAN 13 SURABAYA,Jawa Timur,Kota Surabaya,SMA
486,82,"529,62",20323399,SMA NEGERI 1 KEDUNGWUNI,Jawa Tengah,Kab. Pekalongan,SMA
487,77,"529,472",20103286,SMAN 113 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
488,83,"529,431",20307713,SMAN 1 MERTOYUDAN,Jawa Tengah,Kab. Magelang,SMA
489,70,"529,325",20500477,SMAN 1 MANYAR,Jawa Timur,Kab. Gresik,SMA
490,95,"529,138",20219751,SMAS ADVENT,Jawa Barat,Kota Bandung,SMA
491,35,"529,132",20603359,SMAN 1 KOTA TANGERANG SELATAN,Banten,Kota Tangerang Selatan,SMA
492,71,"529,097",20501705,SMAN 1 TAMAN,Jawa Timur,Kab. Sidoarjo,SMA
493,72,"529,07",20519299,SMAN 1 PANDAAN,Jawa Timur,Kab. Pasuruan,SMA
494,9,"529,038",10497552,SMA IT AL ITTIHAD,Riau,Kota Pekanbaru,SMA
495,73,"528,992",20505008,SMAN 2 TUBAN,Jawa Timur,Kab. Tuban,SMA
496,84,"528,973",20302170,SMAN 1 AJIBARANG,Jawa Tengah,Kab. Banyumas,SMA
497,6,"528,953",40310832,SMA NEGERI 5 PAREPARE,Sulawesi Selatan,Kota Parepare,SMA
498,85,"528,891",20337604,SMK NEGERI 7 SEMARANG,Jawa Tengah,Kota Semarang,SMK
499,78,"528,841",20101586,SMAN 85 JAKARTA,DKI Jakarta,Kota Jakarta Barat,SMA
500,79,"528,799",20177932,MAN 4 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,MA
501,96,"528,788",20217357,SMAN 1 PURWAKARTA,Jawa Barat,Kab. Purwakarta,SMA
